S.No,reviews_list,Category,'Review type',,,,
461,'Tasty & Yummy with Best Quality','Food Taste',Positive,,,,
462,'Mouth craving Spaghrtti with satisfying quantity','Food Taste',Positive,,,,
463,'Amazing Pizza deals In resonable prices. I am sure yoou guys also loved it','Value of Money',Positive,,,,
464,'Deals in Resonable prices with excellent presentation ','Value of Money',Positive,,,,
465,'Huge discount with yummilicious Deals only in 999/-','Value of Money',Positive,,,,
466,'Delicious Yummy Achari Qeema Pasta','Food Taste',Positive,,,,
467,'ygein & quality food ','Food Taste',Positive,,,,
468,'inspired by their service',Service,Positive,,,,
469,'fast Food was just Nice ','Food Taste',Positive,,,,
470,'surprised by their deal offering discount only in 1299/-','Value of Money',Positive,,,,
471,'Tasty & Delicious','Food Taste',Positive,,,,
472,'BBQ awesome Taste.','Food Taste',Positive,,,,
473,'Fresh food','Food Taste',Positive,,,,
474,'All varieties of food is available at resonable rates ','Value of Money',Positive,,,,
475,'Most Famous & Delicious Lebanese Platter.','Food Taste',Positive,,,,
476,'Healthy & Fresh ,Mouthwatering It\'s unique Taste','Food Taste',Positive,,,
477,'Tasty & Hygenic Food ','Food Taste',Positive,,,,
478,'Ordered Recived on time',Service,Positive,,,,
479,'Fulfill my Hunger With Their special deals','Value of Money',Positive,,,,
480,'Delicious desert with Excellent presentation','Food Taste',Positive,,,,
481,'Saucey Jalfrezzi amazing','Food Taste',Positive,,,,
482,'Best quality & Amazing enviornment','Food Taste',Positive,,,,
483,'Good Service With great taste','Food Taste',Positive,,,,
484,' Best quality food ','Food Taste',Positive,,,,
485,'Resonable rates','Value of Money',Positive,,,,
486,'Creamy Ice Cream with fast service','Food Taste',Positive,,,,
487,'I ordered this pasta from chessyaffairPk & my taste Buds are satisfied ','Food Taste',Positive,,,,
488,'great experenced with Amzing taste & service satisfied ',Ambience,Positive,,,,
489,'try out their hotty sauce wings. Soicy saucy & wingy!',Ambience,Positive,,,,
490,'Its Grilled to perfection & satisfying my Taste.','Food Taste',Positive,,,,
491,'The taste was amazing & good quantity','Food Taste',Positive,,,,
492,'Great deals offer for their customer really empressed by their rates','Value of Money',Positive,,,,
493,'delicious taste with quality food','Food Taste',Positive,,,,
494,'Pizza Origin Karachi at its best',Service,Positive,,,,
495,'Eat their Hygenic food ',Service,Positive,,,,
496,'Best Hygenic & Tasty shawarma','Food Taste',Positive,,,,
497,'Yummy Alfredo Pasta','Food Taste',Positive,,,,
498,'Best of All must try crazie Chef','Food Taste',Positive,,,,
499,'All Best vaiety & hygenic food Must try',Service,Positive,,,,
500,'Worth trying','Food Taste',Positive,,,,
501,'Awsome taste and service was also good','Food Taste',Positive,,,,
502,'Excellent deal for 4 people in just Rs.1800','Value of Money',Positive,,,,
503,'Taste was also not good ','Food Taste','Negative ',,,,
504,'quantity was also not good',Service,'Negative ',,,,
505,'food was yummilicious','Food Taste',Positive,,,,
506,'So freshly, cheeseliciously, deliciously gooey & full of flavour. ','Food Taste',Positive,,
507,'Perfect burger and Amazing deal','Food Taste',Positive,,,,
508,'Satisfied my craving and taste','Food Taste',Positive,,,,
509,'quantity was also good ',Service,Positive,,,,
510,'Reasonable prices','Value of Money',Positive,,,,
511,'It was delicious','Food Taste',Positive,,,,
512,'It was yumm','Food Taste',Positive,,,,
513,'Taste was so delicious','Food Taste',Positive,,,,
514,'Big mouth saucy burger , a MUST try !! RS:350','Value of Money',Positive,,,
515,'Taste of the sea','Food Taste',Positive,,,,
516,'A little sweet, but delicious','Food Taste',Positive,,,
517,'The best thing about it is that it will look and feel like home!','Food Taste',Positive,,,,
518,'Taste was very bad, also quality was such bad that it also affect my stomach.','Food Taste','Negative ',,,
519,'The taste, quality, quantity and everything was spot on',FoodTaste+Service,Positive,,
520,'It was delicious and at reasonable price','Value of Money',Positive,,,,
521,'It was delicious and spicy','Food Taste',Positive,,,,
522,'I believe it was worth spending Rs 490 as it tasted delicious especially the Burger Sauce is what makes it unique','Value of Money',Positive,,,,
523,' It was moist, delicious, chocolate rich','Food Taste',Positive,,
524,'Was juicy and saucy, Amazing taste','Food Taste',Positive,,,
525,'For 4 persons just in 1050','Value of Money',Positive,,,,
526,'It was so amazing Superb taste & another good thing is that its homemade freshly cooked','Food Taste',Positive,,,,
527,'The quality they are providing at the rate of Rs. 250 is worth trying.','Value of Money',Positive,,,,
528,'Delectable tasty especially their drum sticks!!!','Food Taste',Positive,,,,
529,'Animal fries were stale and soggy and food was literally pathetic like guys you should not call it shawarma','Food Taste','Negative ',,,,
530,'Found it very delicious and worth its price','Food Taste',Positive,,,,
531,'The aroma of earthenware and balanced sweetness','Food Taste',Positive,,,,
532,'These are reasonable in just 50rs','Value of Money',Positive,,,,
533,'Burger was so crispy, tender and perfectly cooked especially the chicken was so fresh ','Food Taste',Positive,,,
534,'A perfect blend of flavour','Food Taste',Positive,,,,
535,'The taste was amazing and brownies had perfect balance ingredients ','Food Taste',Positive,,,,
536,'The most delicious lasagna ever!','Food Taste',Positive,,,,
537,'It was delicious in taste and satisfied cravings also','Food Taste',Positive,,,,
538,'The burgers were delivered so fresh and hot','Food Taste',Positive,,,,
539,'They proved to be focused highly on customers requirement.',Other,Positive,,,,
540,'Took too much time in delivery',Service,'Negative ',,,,
541,'Totally worth the hype and money.','Value of Money',Positive,,,,
542,'Totally worth the hype and money.',Service,Positive,,,,
543,'Best taste','Food Taste',Positive,,,,
544,'Taste was not good ','Food Taste','Negative ',,,,
545,'quality was worst',Service,'Negative ',,,,
546,'They were divine like I enjoyed every bit of it','Food Taste',Positive,,,,
547,'Best taste always','Food Taste',Positive,,,,
548,'Best Service',Service,Positive,,,,
549,'Burger was so rich nd heavy . fried burger bun with grilled chicken , Cheese and Cheese sauce. Fulfilled my cheesy cravings.',Service,Positive,,,
550,'Highly satisfied with customer service',Service,Positive,,,,
551,'Disappointed with their delivery service',Service,'Negative ',,,,
552,'Taste, fresh','Food Taste',Positive,,,
553,'deliverey was good',Service,Positive,,,,
554,'Taste was awesome','Food Taste',Positive,,,,
555,'Great taste','Food Taste',Positive,,,,
556,' considerate staff',Service,Positive,,,,
557,'Food was delicious ','Food Taste',Positive,,,,
558,'Satisfied with taste and quality','Food Taste',Positive,,,,
559,'Get discount from foodpanda and get this burger in just 366rs.','Value of Money',Positive,,,,
560,'Too much salt and black pepper','Food Taste','Negative ',,,,
561,'Deliver only 2 brownie but I ordered 3 brownies',Other,'Negative ',,,,
562,'Fresh and hot.','Food Taste',Positive,,,,
563,'Taste was awesome','Food Taste',Positive,,,,
564,'Presentation were awesome',Service,Positive,,,,
565,'Tasty fresh puris','Food Taste',Positive,,,,
566,'It’s awesome in taste.','Food Taste',Positive,,,,
567,'It was only in 180rs','Value of Money',Positive,,,,
568,'Love the taste','Food Taste',Positive,,,,
569,'Quantity and Quality both were good','Food Taste',Positive,,,,
570,'Ambiance was good they renovated and it looks nice',Ambience,Positive,,,,
571,'The taste and quantity was upto the mark!','Food Taste',Positive,,,,
572,'Taste was so amazing','Food Taste',Positive,,,,
573,'Grab it in just 100rs with offer from eat mubarak','Food Taste',Positive,,,,
574,'Value of Money : 10/10 for the pizza','Value of Money',Positive,,,,
575,'Rich in flavours, creamy texture, a perfect treat','Food Taste',Positive,,
576,'Best choice ever made','Food Taste',Positive,,,,
577,'One of the best pizza ','Food Taste',Positive,,,,
578,'It is absolute class and one of the best in the city.','Food Taste',Positive,,,,
579,'They know how to suffice your sweet thirst! Amazing','Food Taste',Positive,,,,
580,'Tasted delicious','Food Taste',Positive,,,,
581,'Felt totally like home made food.','Food Taste',Positive,,,,
582,'Inside tastes like a soupy fried chicken while the skin is very saucy, tomatoey.I loved the skin.','Food Taste',Positive,,,
583,'Taste was so delicious','Food Taste',Positive,,,,
584,'Absolute melt in mouth','Food Taste',Positive,,,,
585,'It was delicious','Food Taste',Positive,,,,
586,'Love all the dishes','Food Taste',Positive,,,,
587,'Such high quality cheese used','Food Taste',Positive,,,,
588,'So Reasonable','Value of Money',Positive,,,,
589,'Taste was good','Food Taste',Positive,,,,
590,'Good in quality and quantity','Food Taste',Positive,,,,
591,'Never judge book by its cover!',Other,'Negative ',,,,
592,'All dishes taste were delicious','Food Taste',Positive,,,,
593,'Delicious Taste','Food Taste',Positive,,,,
594,'You can arrange small parties as well with your choice of arrangements.',Ambience,Positive,,,,
595,'All you can eat in Rs. 890','Value of Money',Positive,,,,
596,'Amazing food','Food Taste',Positive,,,,
597,'Good Ambience ',Ambience,Positive,,,,
598,'Waste of money','Value of Money','Negative ',,,,
599,'Taste was worst','Food Taste','Negative ',,,,
600,'Must try again, they have delicious food','Food Taste',Positive,,,
601,'The best beef biryani in town. The taste is so amazing that you  wont realize how much you have eaten.','Food Taste',Positive,,,,
602,'It was yum..','Food Taste',Positive,,,,
603,'A big shout out to Funkaar Cafe for their absolutely mouth watering food.','Food Taste',Positive,,,,
604,'Affordable Price','Value of Money',Positive,,,,
605,'Oreo Monster Shake worth it Beast','Food Taste',Positive,,,,
606,'wasting my calories.','Food Taste','Negative ',,,,
607,'Eating since childhood but the taste is still the same.','Food Taste',Positive,,,,
608,'No one can beat the taste of Peshawari','Food Taste',Positive,,,,
609,'I think i have never ever eaten such delicious and tasty BBQ.','Food Taste',Positive,,,,
610,'No doubt one of the best','Food Taste',Positive,,,,
611,'Good Taste','Food Taste',Positive,,,,
612,'Quality and quantity of united king  mix salad is very good comparing to the salad of other bakeries','Food Taste',Positive,,,,
613,'Taste was beyond the expectations','Food Taste',Positive,,,,
614,tasted,'Food Taste',Positive,,,,
615,'Taste was so good..','Food Taste',Positive,,,,
616,'Burger was juicy','Food Taste',Positive,,,,
617,'It was airy,creamy and rich in flavour. The chicken was in perfect texture.','Food Taste',Positive,,,
618,'it was loaded with rich flavors and fries were fresh & crispy too. Taste: 9/10','Food Taste',Positive,,,,
619,'it was very economical and yet so delicious','Food Taste',Positive,,,,
620,'Best Pizza Paratha','Food Taste',Positive,,,,
621,'Overall the pasta, red sauce with moist chicken olives was good but seasoning cud have been better cuz i have had better !','Food Taste',Positive,,,
622,'Food was amazing','Food Taste',Positive,,,,
623,'Delicious taste','Food Taste',Positive,,,,
624,'pizza made on sheermal, fazool kacha se dough without any topping no chicken at all.','Food Taste','Negative ',,,
625,'From appearance to taste it was amazing','Food Taste',Positive,,,,
626,'Best pasta in town','Food Taste','Negative ',,,,
627,'The quality of the food is very good. Loved the dragon chicken,cheese prawns, chopsuey','Food Taste',Positive,,
628,'such a beautiful and peaceful place to have hi-tea hygienic food','Food Taste',Positive,,,,
629,Delicious,'Food Taste',Positive,,,,
630,' its huge, juicy and perfect for burgers lover. Taste: 10/10','Food Taste',Positive,,,
631,'food except deserts were extremenly disappointing','Food Taste','Negative ',,,,
632,'food was very delicious,it was a good experience.','Food Taste',Positive,,,
633,'high Recommended','Food Taste',Positive,,,,
634,' Best Borast in Karachi','Food Taste',Positive,,,,
635,'The food was extremely fresh and warm.','Food Taste',Positive,,,,
636,'The cheese was hard and the fries had a weird taste.','Food Taste','Negative ',,,,
637,'Delicious Taste','Food Taste',Positive,,,,
638,'The food was hot and fresh','Food Taste',Positive,,,,
639,'the taste was not something that I have never had.','Food Taste',Positive,,,,
640,'Club sandwich was good too','Food Taste',Positive,,,,
641,'dry burnt pizza with weird low quality cheese tiny bits of chicken sprinkled here n there for show','Food Taste','Negative ',,,,
642,'The food taste and variety is amazing enough to satisfy your taste buds if you are looking for unique, meaty with juicy and creamy taste.','Food Taste',Positive,,,
643,'The glasses were not even filled half.','Food Taste','Negative ',,,,
644,'I really liked the Chocolate Sea salt donut. ','Food Taste',Positive,,,,
645,'the gappas were crisp and fresh','Food Taste',Positive,,,,
646,'So yummy I can’t even get over with it’s deliciousness','Food Taste',Positive,,,,
647,'Pasta was so bad tasteless','Food Taste','Negative ',,,,
648,'Perfect blend of tikka flavour with lots of cheese n little bit spicy','Food Taste',Positive,,,,
649,'Well this is the king of all i tried perfect sauce and proper blend of the authentic spices.','Food Taste',Positive,,,,
650,'The best Beef Biryani','Food Taste',Positive,,,,
651,'Its taste is good','Food Taste',Positive,,,,
652,'Absolutely,No doubt it is best','Food Taste',Positive,,,
653,'The best Beef Biryani in Karachi','Food Taste',Positive,,,,
654,'It is a classical Biryani .Its also called a friends Biryani','Food Taste',Positive,,,,
655,'Nothing Compared to this amazing taste','Food Taste',Positive,,,,
656,'Sela Biryani Rice with worst taste ever','Food Taste',Positive,,,,
657,'It is the best biryani in town','Food Taste',Negative,,,,
658,'I\'ve eaten it many time,and no other beef biryani comes close to its taste','Food Taste',Positive,,,
659,'The biryani itself is amazing,but along with their raita,its a lethal combination','Food Taste',Positive,,
660,'Best biryani ever.','Food Taste',Positive,,,,
661,'No doubt biryani taste is amazing here','Food Taste',Positive,,,,
662,'I dont like this cake zero customer sevice','Food Taste',Negative,,,,
663,'I have order a red velvet cake its look good but its not good','Food Taste',Negative,,,,
664,'It is a yummy cake recently I have orderd a Mango cheese cake','Food Taste',Positive,,,,
665,'Love their cakes and cupcakes they are best','Food Taste',Positive,,,,
666,'Their service are not good they provide a very less quantity of food',Service,Negative,,,,
667,'Still broadway is far better than pizza point','Food Taste',Positive,,,,
668,'It is very tasty it was so juicy and even the bun was so fresh','Food Taste',Positive,,,,
669,'One of the best pizza in town no doubt','Food Taste',Positive,,,,
670,'Looks awesome an it is very yummy','food Taste',Positive,,,,
671,'Broadway is amazing in taste','Food Taste',Positive,,,,
672,'Their stuffed bread is like the chocolate at the end of cornetto','Food Taste',Positive,,,,
673,'OMG Burger never disapoints I tried the cheese steak single and fell in love all over again','Food Taste',Positive,,,,
674,'It never disapoints!OMG','Food Taste',Positive,,,,
675,'OMG is like above average but not awesome','Food Taste',Negative,,,,
676,'It is a useless burger','Food Taste',Negative,,,,
677,'There was a problem in sitting area are too much congested','Food Taste',Negative,,,,
678,'Personal experience Zamzama branch. Awesom host polite gentle and burger quality awesome','Food Taste',Positive,,,,
679,'Taste 10/10 Top quality','Food Taste',Positive,,,,
680,'I loved it and it is tasty remember me childhood memory','Food Taste',Positive,,,,
681,'Its yummy','Food Taste',Positive,,,,
682,'Highly overrated ice-cream never having it again','Food Taste',Negative,,,,
683,'Its really delicious & not so expensive. Tried at dolmen clifton','Food Taste',Positive,,,,
684,'It is good in taste','Food Taste',Positive,,,,
685,'Quantity and quality both up to mark worth trying','Food Taste',Positive,,,,
686,'Everything was on point except grilled chicken with rice','Food Taste',Negative,,,,
687,'It was reasonable like any other fine dinning restaurant','Food Taste',Positive,,,,
688,'Food quality 9/10','Food Taste',Positive,,,,
689,' very expensive','Value of Money',Negative,,,,
690,'It was not good in taste ','Food Taste',Negative,,,,
691,'The food was hot ,fresh and tasty','Food Taste',Positive,,,
692,'Food taste 9/10','Food Taste',Positive,,,,
693,'Really good in taste & deal was actually good','Food Taste',Positive,,,,
694,'Its look good and its is also amazing','Food Taste',Positive,,,,
695,'It looks yummy','Food Taste',Positive,,,,
696,'Its really amazing and its taste is so yummy','Food Taste',Positive,,,,
697,'It is so delicious and mouth watering','Food Taste',Positive,,,,
698,'It looks good canott wait to try it again','Food Taste',Positive,,,,
699,'Horrible experience Nothing is good here','Food Taste',Negative,,,,
700,'The food service ,ambiance every thing is very good','Food Taste',Positive,,,
701,'It was delicious','Food Taste',Positive,,,,
702,'It was yumm','Food Taste',Positive,,,,
703,'Taste was so delicious','Food Taste',Positive,,,,
704,'Big mouth saucy burger , a MUST try. RS:350','Value of Money',Positive,,,
705,'Taste of the sea','Food Taste',Positive,,,,
706,'A little sweet, but delicious','Food Taste',Positive,,,
707,'The best thing about it is that it will look and feel like home!','Food Taste',Positive,,,,
708,'Taste was very bad, also quality was such bad that it also affect my stomach.','Food Taste','Negative ',,,
709,'The taste, quality, quantity and everything was spot','Value of Money',Positive,,
710,' reasonable price','Value for Money',Positive,,,,
711,'It was delicious ','Food Taste',Positive,,,,
712,'It was delicious and spicy','Food Taste',Positive,,,,
713,'I believe it was worth spending Rs 490 ','Value of Money',Positive,,,,
714,'it tasted delicious especially the Burger Sauce is what makes it unique','Food Taste',Positive,,,,
715,' It was moist, delicious, chocolate rich','Food Taste',Positive,,
716,'Was juicy and saucy, Amazing taste','Food Taste',Positive,,,
717,'For 4 persons just in 1050','Value of Money',Positive,,,,
718,'It was so amazing Superb taste & another good thing is that its homemade freshly cooked','Food Taste',Positive,,,,
719,'The quality they are providing at the rate of Rs. 250 is worth trying.','Value of Money',Positive,,,,
720,'Delectable tasty especially their drum sticks','Food Taste',Positive,,,,
721,'Animal fries were stale and soggy and food was literally pathetic like guys you should nor call it shawarma','Food Taste','Negative ',,,,
722,'Found it very delicious ','Food Taste',Positive,,,,
723,'worth its price','Value of Money',Positive,,,,
724,'The aroma of earthenware and balanced sweetness','Food Taste',Positive,,,,
725,'These are reasonable in just 50rs','Value of Money',Positive,,,,
726,'Burger was so crispy, tender and perfectly cooked especially the chicken was so fresh ','Food Taste',Positive,,,
727,'A perfect blend of flavour','Food Taste',Positive,,,,
728,'The taste was amazing and brownies had perfect balance ingredients ','Food Taste',Positive,,,,
729,'The most delicious lasagna ever!','Food Taste',Positive,,,,
730,'It was delicious in taste and satisfied cravings also','Food Taste',Positive,,,,
731,'The burgers were delivered so fresh and hot','Food Taste',Positive,,,,
732,'They proved to be focused highly on customers requirement.',Service,Positive,,,,
733,'Took too much time in delivery',Service,'Negative ',,,,
734,'Totally worth the hype and money.','Value of Money',Positive,,,,
735,'Best taste','Food Taste',Positive,,,,
736,'Taste was not good also quality was worst','Food Taste','Negative ',,,,
737,'They were divine like I enjoyed every bit of it',Other,Positive,,,,
738,'Best Service',Service,Positive,,,,
739,'best taste always','Food Taste',Positive,,,,
740,'Burger was so rich nd heavy . fried burger bun with grilled chicken , Cheese and Cheese sauce. Fulfilled my cheesy cravings.',Service,Positive,,,
741,'Highly satisfied with customer service',Service,Positive,,,,
742,'Disappointed with their delivery service',Service,'Negative ',,,,
743,'Taste, fresh and deliverey at Rs 1500','Value of Money',Positive,,,
744,'Taste was awesome','Food Taste',Positive,,,,
745,'Great taste','Food Taste',Positive,,,,
746,'considerate staff',Service,Positive,,,,
747,'Food was delicious ','Food Taste',Positive,,,,
748,'Satisfied with taste and quality','Food Taste',Positive,,,,
749,'get this burger in just 366rs.','Value of Money',Positive,,,,
750,'Too much salt and black pepper','Food Taste','Negative ',,,,
751,'Deliver not accurate order worst service','Value of Money','Negative ',,,,
752,'Fresh and hot.','Food Taste',Positive,,,,
753,'Presentation and taste was awesome','Food Taste',Positive,,,,
754,'Tasty fresh puris','Food Taste',Positive,,,,
755,'It’s awesome in taste.','Food Taste',Positive,,,,
756,'It was only in 180rs','Value of Money',Positive,,,,
757,'Love the taste','Food Taste',Positive,,,,
758,' Quantity and Quality both were good','Food Taste',Positive,,,,
759,'Ambiance was good they renovated and it looks nice.',Ambience,Positive,,,,
760,'The taste and quantity was upto the mark','Food Taste',Positive,,,,
761,'Taste was so amazing','Food Taste',Positive,,,,
762,'Grab it in just 100rs with offer from eat mubarak','Value of Money',Positive,,,,
763,'Value for money : 10/10 for the pizza','Value of Money',Positive,,,,
764,'Rich in flavours, creamy texture, a perfect treat','Food Taste',Positive,,
765,'Best choice ever made','Food Taste',Positive,,,,
766,'One of the best pizza ','Food Taste',Positive,,,,
767,'It is absolute class and one of the best in the city.',Other,Positive,,,,
768,'They know how to suffice your sweet thirst awsome','Food Taste',Positive,,,,
769,'Tasted delicious','Food Taste',Positive,,,,
770,'Felt totally like home made food.','Food Taste',Positive,,,,
771,'Inside tastes like a soupy fried chicken while the skin is very saucy, tomatoey.I loved the skin.','Food Taste',Positive,,,
772,'Taste was so delicious','Food Taste',Positive,,,,
773,'Absolute melt in mouth','Food Taste',Positive,,,,
774,'It was delicious','Food Taste',Positive,,,,
775,'Love all the dishes','Food Taste',Positive,,,,
776,'Such high quality cheese used','Food Taste',Positive,,,,
777,'So reasonable and taste was good','Food Taste',Positive,,,,
778,'Good in quality and quantity','Food Taste',Positive,,,,
779,'All dishes taste were delicious','Food Taste',Positive,,,,
780,'Delicious Taste','Food Taste',Positive,,,,
781,'You can arrange small parties as well with your choice of arrangements.',Ambience,Positive,,,,
782,'Good Ambience and Amazing food',Ambience,Positive,,,,
783,'Waste of money','Value of Money','Negative ',,,,
784,'Taste was worst','Food Taste','Negative ',,,,
785,'Must try again, they have delicious food','Food Taste',Positive,,,
786,'Fries were cold and hard too ','Food Taste',Negative,,,,
787,'Great Taste','Food Taste',Positive,,,,
788,'Best Pizza','Food Taste',Positive,,,,
789,'Poor food quality & taste','Food Taste',Negative,,,,
790,'The best in taste','Food taste',Positive,,,,
791,'Best zinger','Food Taste',Positive,,,,
792,'Very disappointed','Food Taste',Negative,,,,
793,'Food taste was not good.','Food Taste',Negative,,,,
794,'Highly disappointed','Food Taste',Negative,,,,
795,'Yummlicious with cheese','Food Taste',Positive,,,,
796,'It was not cheesy anymore full of ketchup and mayo','Food Taste',Negative,,,,
797,'All mu burgers had uncooked chicken ','Food Taste',Negative,,,,
798,'It was sour , cold and tasteless also','Food Taste',Negative,,,
799,'10/10 Food Taste','Food Taste',Positive,,,,
800,'Dry patty , buns was not fresh ,& no filling inside','Food Taste',Negative,,
801,'Cream cheese was on point. ','Food Taste',Positive,,,,
802,'Taste: 10/10','Food Taste',Positive,,,,
803,'One of the delicious biryani i ever had','Food Taste',Positive,,,,
804,'Properly Filled with topping, tasty','Food Taste',Positive,,,
805,'The sauce and cheese were making it more yummy.','Food Taste',Positive,,,,
806,'It has only a single layer of cheese at the top just','Food Taste',Negative,,,,
807,'Moist chocolaty layer in the middle.Yummy','Food Taste',Positive,,,,
808,'Blast ','Food Taste',Positive,,,,
809,'Amazing taste','Food Taste',Positive,,,,
810,'I have never tried something this delicious!! ','Food Taste',Positive,,,,
811,'The perfect balance of spice , it was absolutely fresh','Food Taste',Positive,,,
812,'Fries were too oily','Food Taste',Negative,,,,
813,'Pasta was so bad tasteless','Food Taste',Negative,,,,
814,'Too yummy','Food Taste',Positive,,,,
815,'The best in taste','Food Taste',Positive,,,,
816,'Tasty biryani and extremely hygienic ','Food Taste',Positive,,,,
817,'It was quite different yet tasty.','Food Taste',Positive,,,,
818,'The best calzone i have ever had ','Food Taste',Positive,,,,
819,'I love it 10/10','Food Taste',Positive,,,,
820,'Oily and burn fries','Food Taste',Negative,,,,
821,'The food was absolutely delicious','Food Taste',Positive,,,,
822,'The churros were absolutely fresh & yum','Food Taste',Positive,,,,
823,'Best best full of chocolate','Food Taste',Positive,,,,
824,'The chicken was really hard and tasteless!','Food Taste',Negative,,,,
825,'Hundred out of hundred','Food Taste',Positive,,,,
826,'Highly recommended','Food Taste',Positive,,,,
827,'Smelled awful. Seems like somebody fried it in diesel','Food Taste',Negative,,,,
828,'Tastiest eclairs i ever had in my entire life','Food Taste',Positive,,,,
829,'Pizza was delicious and filled with cheese','Food Taste',Positive,,,,
830,'Fries were too much spicy','Food Taste',Negative,,,,
831,'The chicken was juicy, tender and crispy','Food Taste',Positive,,,
832,'I have never had this much delicious pasta ever','Food Taste',Positive,,,,
833,'Cream not found. Disappointed','Food Taste',Negative,,,,
834,'I could smell the rotten chicken and the old bun ','Food Taste',Negative,,,,
835,'Cravings satisfied! Mouth watering food','Food Taste',Positive,,,,
836,'Very bad quality of pizza . Not enough cheese','Food Taste',Negative,,,,
837,'I think they added old herbs so pasta was bitter','Food Taste',Negative,,,,
838,'The best pizza fries in town ','Food Taste',Positive,,,,
839,'My personal favourite','Food Taste',Positive,,,,
840,'Excellent taste and quality of food','Food Taste',Positive,,,,
841,'the food is making us crazy for its taste','Food Taste',Positive,,,,
842,' the taste is really good','Food Taste',Positive,,,,
843,'it contained a patty stuffed with a creamy sauce that tasted like alfredo sauce, perfect for alfredo pasta cravers','Food Taste',Positive,,,
844,'Best delicious food ','Food Taste',Positive,,,,
845,'No doubt it was so yummy! I am a die hard pasta lover and was very much impressed.','Food Taste',Positive,,,,
846,'OMG! Its really worth eating','Food Taste',Positive,,,,
847,'The most amazing burger','Food Taste',Positive,,,,
848,' It was super juicy and hell amazing!','Food Taste',Positive,,,,
849,'The burgers are very  good','Food Taste',Positive,,,,
850,'We admired the taste, freshness and hygiene,','Food Taste',Positive,,
851,'Excellent food','Food Taste',Positive,,,,
852,'Best Borast in Karachi','Food Taste',Positive,,,,
853,'My personal favourite','Food Taste',Positive,,,,
854,'The sauce and cheese were making it more yummy.','Food Taste',Positive,,,,
855,'The food was absolutely delicious','Food Taste',Positive,,,,
856,'Awsome taste and service was also good','Food Taste',Positive,,,,
857,'Best pizza in town','Food Taste',Positive,,,,
858,'The taste was so delicious and juicy too.','Food Taste',Positive,,,,
859,'Different flavours like others biryani.','Food Taste',Positive,,,,
860,'The aroma of flavours were excellent..','Food Taste',Positive,,,,
861,'The burgers were absolutely great','Food Taste',Positive,,,,
862,'Burgers were tasty, juicy and delicious. ','Food Taste',Positive,,,
863,'Burgers were tasty, juicy and delicious. ','Food Taste',Positive,,,
864,'I Tried their chicken cheese burgers and it was too saucy,fresh ','Food Taste',Positive,,,
865,'Specially chicken patty was too yummy ','Food Taste',Positive,,,,
866,'Quality 10/10','Food Taste',Positive,,,,
867,'Great Taste.','Food Taste',Positive,,,,
868,'Properly Filled with topping, all flavours were different from other','Food Taste',Positive,,,
869,'It was quite different yet tasty','Food Taste',Positive,,,,
870,'Sandwiches flavours  were too good','Food Taste',Positive,,,,
871,'Their coconut ice-cream is sooooooo good','Food Taste',Positive,,,,
872,'It was so good at taste and decorated so nice i loved it','Food Taste',Positive,,,,
873,'Food was amazing','Food Taste',Positive,,,,
874,'Presenting you a unique version Biryani','Food Taste',Positive,,,,
875,'Delicious hygiene food','Food Taste',Positive,,,,
876,'Super soft donuts ','Food Taste',Positive,,,,
877,'This tasty Tawa Pizza, and trust me it is something beyond delicious ','Food Taste',Positive,,,
878,'It was too yummy and delicious','Food Taste',Positive,,,,
879,'The food was absolutely delicious','Food Taste',Positive,,,,
880,'The food was hot and fresh ','Food Taste',Positive,,,,
881,'Awesome quality of flavoured','Food Taste',Positive,,,,
882,'One of my favourite Dine-in of all time! ','Food Taste',Positive,,,,
883,'The taste is so amazing','Food Taste',Positive,,,,
884,'Tasty bites','Food Taste',Positive,,,,
885,'awesome Burgers','Food Taste',Positive,,,,
886,'100°\% correct','Food Taste',Positive,,,,
887,'The most amazing burger','Food Taste',Positive,,,,
888,'The burgers are very  good','Food Taste',Positive,,,,
889,'The cheesy tikka pasta was good as well according to the price. ','Food Taste',Positive,,,,
890,'Club sandwich was good too','Food Taste',Positive,,,,
891,'Loved every bite of the beef double patty burger','Food Taste',Positive,,,,
892,'Taste was so delicious','Food Taste',Positive,,,,
893,'Nice presentation, excellent taste and quality of food.','Food Taste',Positive,,,
894,'The chopsuey served to us was soggy and not at all delightful. ','Food Taste',Negative,,,,
895,'They were simply bathing in oil. They looked disgusting','Food Taste',Negative,,,,
896,' has very less sauce on it ','Food Taste',Negative,,,,
897,'is not well Done way hard and tough','Food Taste',Negative,,,,
898,'the only dish which was good','Food Taste',Positive,,,,
899,'taste less','Food Taste',Negative,,,,
900,'It was awful filled with 5 pc of little chicken and tons of veggies highly dissatisfied.','Food Taste',Negative,,,,
901,'It is the best on their menu','Food Taste',Positive,,,,
902,'It had a unique pizza like taste','Food Taste',Positive,,,,
903,'a bit spicy for Me but the sauce served with it balanced the flavours.','Food Taste',Positive,,,,
904,'they do have a very good taste.','Food Taste',Positive,,,,
905,'It is the best of spicy broast available. You can taste the spices to the very core of the broast','Food Taste',Positive,,,,
906,'it had one of the thickest burger I have seen.','Food Taste',Positive,,,,
907,' they were both brilliant','Food Taste',Positive,,,,
908,'Honestly, best fricking pizza I’ve had in forever.','Food Taste',Positive,,,
